三明市清流县公安局	福建省三明市清流县
白城市镇赉县公安局	吉林省白城市镇赉县
辽源市西安区公安局	吉林省辽源市西安区
辽源市龙山区公安局	吉林省辽源市龙山区
辽源市东辽县公安局	吉林省辽源市东辽县
辽源市东丰县公安局	吉林省辽源市东丰县
吉林市吉林经济开发区公安局	吉林省吉林市吉林经济开发区
吉林市吉林中国新加坡食品区公安局	吉林省吉林市吉林中国新加坡食品区
吉林市磐石市公安局	吉林省吉林市磐石市
吉林市舒兰市公安局	吉林省吉林市舒兰市
吉林市龙潭区公安局	吉林省吉林市龙潭区
吉林市昌邑区公安局	吉林省吉林市昌邑区
吉林市蛟河市公安局	吉林省吉林市蛟河市
吉林市永吉县公安局	吉林省吉林市永吉县
吉林市桦甸市公安局	吉林省吉林市桦甸市
吉林市丰满区公安局	吉林省吉林市丰满区
吉林市吉林高新技术产业开发区公安局	吉林省吉林市吉林高新技术产业开发区
吉林市船营区公安局	吉林省吉林市船营区
延边朝鲜族自治州安图县公安局	吉林省延边朝鲜族自治州安图县
延边朝鲜族自治州龙井市公安局	吉林省延边朝鲜族自治州龙井市
延边朝鲜族自治州和龙市公安局	吉林省延边朝鲜族自治州和龙市
延边朝鲜族自治州汪清县公安局	吉林省延边朝鲜族自治州汪清县
延边朝鲜族自治州珲春市公安局	吉林省延边朝鲜族自治州珲春市
湖州市德清县公安局	浙江省湖州市德清县
湖州市安吉县公安局	浙江省湖州市安吉县
淮安市洪泽区公安局	江苏省淮安市洪泽区
淮安市清江浦区公安局	江苏省淮安市清江浦区
淮安市淮安区公安局	江苏省淮安市淮安区
淮安市盱眙县公安局	江苏省淮安市盱眙县
淮安市涟水县公安局	江苏省淮安市涟水县
淮安市淮安经济技术开发区公安局	江苏省淮安市淮安经济技术开发区
淮安市金湖县公安局	江苏省淮安市金湖县
淮安市淮阴区公安局	江苏省淮安市淮阴区
无锡市新吴区公安局	江苏省无锡市新吴区
无锡市滨湖区公安局	江苏省无锡市滨湖区
无锡市江阴市公安局	江苏省无锡市江阴市
无锡市锡山区公安局	江苏省无锡市锡山区
无锡市梁溪区公安局	江苏省无锡市梁溪区
无锡市惠山区公安局	江苏省无锡市惠山区
无锡市宜兴市公安局	江苏省无锡市宜兴市
常州市金坛区公安局	江苏省常州市金坛区
常州市武进区公安局	江苏省常州市武进区
常州市溧阳市公安局	江苏省常州市溧阳市
常州市天宁区公安局	江苏省常州市天宁区
常州市新北区公安局	江苏省常州市新北区
常州市钟楼区公安局	江苏省常州市钟楼区
连云港市东海县公安局	江苏省连云港市东海县
连云港市灌南县公安局	江苏省连云港市灌南县
连云港市赣榆区公安局	江苏省连云港市赣榆区
连云港市连云港经济技术开发区公安局	江苏省连云港市连云港经济技术开发区
连云港市连云港高新技术产业开发区公安局	江苏省连云港市连云港高新技术产业开发区
连云港市海州区公安局	江苏省连云港市海州区
连云港市连云区公安局	江苏省连云港市连云区
连云港市灌云县公安局	江苏省连云港市灌云县
扬州市宝应县公安局	江苏省扬州市宝应县
扬州市仪征市公安局	江苏省扬州市仪征市
扬州市广陵区公安局	江苏省扬州市广陵区
扬州市高邮市公安局	江苏省扬州市高邮市
扬州市江都区公安局	江苏省扬州市江都区
扬州市扬州经济技术开发区公安局	江苏省扬州市扬州经济技术开发区
扬州市邗江区公安局	江苏省扬州市邗江区
宿迁市泗阳县公安局	江苏省宿迁市泗阳县
宿迁市泗洪县公安局	江苏省宿迁市泗洪县
宿迁市宿迁经济技术开发区公安局	江苏省宿迁市宿迁经济技术开发区
宿迁市宿城区公安局	江苏省宿迁市宿城区
宿迁市沭阳县公安局	江苏省宿迁市沭阳县
宿迁市宿豫区公安局	江苏省宿迁市宿豫区
镇江市润州区公安局	江苏省镇江市润州区
镇江市丹阳市公安局	江苏省镇江市丹阳市
镇江市丹徒区公安局	江苏省镇江市丹徒区
镇江市扬中市公安局	江苏省镇江市扬中市
镇江市京口区公安局	江苏省镇江市京口区
镇江市镇江新区公安局	江苏省镇江市镇江新区
镇江市句容市公安局	江苏省镇江市句容市
盐城市盐都区公安局	江苏省盐城市盐都区
盐城市射阳县公安局	江苏省盐城市射阳县
盐城市建湖县公安局	江苏省盐城市建湖县
盐城市滨海县公安局	江苏省盐城市滨海县
盐城市阜宁县公安局	江苏省盐城市阜宁县
盐城市东台市公安局	江苏省盐城市东台市
盐城市大丰区公安局	江苏省盐城市大丰区
盐城市响水县公安局	江苏省盐城市响水县
盐城市盐城经济技术开发区公安局	江苏省盐城市盐城经济技术开发区
盐城市亭湖区公安局	江苏省盐城市亭湖区
南通市海门市公安局	江苏省南通市海门市
南通市港闸区公安局	江苏省南通市港闸区
南通市通州区公安局	江苏省南通市通州区
南通市如东县公安局	江苏省南通市如东县
南通市如皋市公安局	江苏省南通市如皋市
南通市崇川区公安局	江苏省南通市崇川区
南通市南通经济技术开发区公安局	江苏省南通市南通经济技术开发区
南通市海安市公安局	江苏省南通市海安市
南通市启东市公安局	江苏省南通市启东市
泰州市泰州医药高新技术产业开发区公安局	江苏省泰州市泰州医药高新技术产业开发区
泰州市靖江市公安局	江苏省泰州市靖江市
泰州市泰兴市公安局	江苏省泰州市泰兴市
泰州市海陵区公安局	江苏省泰州市海陵区
泰州市姜堰区公安局	江苏省泰州市姜堰区
泰州市高港区公安局	江苏省泰州市高港区
泰州市兴化市公安局	江苏省泰州市兴化市
南京市溧水区公安局	江苏省南京市溧水区
南京市栖霞区公安局	江苏省南京市栖霞区
南京市秦淮区公安局	江苏省南京市秦淮区
南京市江宁区公安局	江苏省南京市江宁区
南京市玄武区公安局	江苏省南京市玄武区
南京市建邺区公安局	江苏省南京市建邺区
南京市六合区公安局	江苏省南京市六合区
南京市雨花台区公安局	江苏省南京市雨花台区
南京市高淳区公安局	江苏省南京市高淳区
南京市鼓楼区公安局	江苏省南京市鼓楼区
南京市浦口区公安局	江苏省南京市浦口区
徐州市丰县公安局	江苏省徐州市丰县
徐州市睢宁县公安局	江苏省徐州市睢宁县
徐州市鼓楼区公安局	江苏省徐州市鼓楼区
徐州市云龙区公安局	江苏省徐州市云龙区
徐州市新沂市公安局	江苏省徐州市新沂市
徐州市泉山区公安局	江苏省徐州市泉山区
徐州市邳州市公安局	江苏省徐州市邳州市
徐州市贾汪区公安局	江苏省徐州市贾汪区
徐州市沛县公安局	江苏省徐州市沛县
徐州市铜山区公安局	江苏省徐州市铜山区
徐州市徐州经济技术开发区公安局	江苏省徐州市徐州经济技术开发区
苏州市吴中区公安局	江苏省苏州市吴中区
苏州市相城区公安局	江苏省苏州市相城区
苏州市张家港市公安局	江苏省苏州市张家港市
苏州市常熟市公安局	江苏省苏州市常熟市
苏州市太仓市公安局	江苏省苏州市太仓市
苏州市姑苏区公安局	江苏省苏州市姑苏区
苏州市苏州工业园区公安局	江苏省苏州市苏州工业园区
苏州市昆山市公安局	江苏省苏州市昆山市
苏州市虎丘区公安局	江苏省苏州市虎丘区
苏州市吴江区公安局	江苏省苏州市吴江区
日照市五莲县公安局	山东省日照市五莲县
日照市莒县公安局	山东省日照市莒县
日照市日照经济技术开发区公安局	山东省日照市日照经济技术开发区
日照市岚山区公安局	山东省日照市岚山区
日照市东港区公安局	山东省日照市东港区
滨州市博兴县公安局	山东省滨州市博兴县
滨州市滨城区公安局	山东省滨州市滨城区
滨州市邹平市公安局	山东省滨州市邹平市
滨州市惠民县公安局	山东省滨州市惠民县
滨州市阳信县公安局	山东省滨州市阳信县
滨州市沾化区公安局	山东省滨州市沾化区
滨州市无棣县公安局	山东省滨州市无棣县
泰安市岱岳区公安局	山东省泰安市岱岳区
泰安市泰山区公安局	山东省泰安市泰山区
泰安市宁阳县公安局	山东省泰安市宁阳县
泰安市肥城市公安局	山东省泰安市肥城市
泰安市东平县公安局	山东省泰安市东平县
泰安市新泰市公安局	山东省泰安市新泰市
枣庄市滕州市公安局	山东省枣庄市滕州市
枣庄市峄城区公安局	山东省枣庄市峄城区
枣庄市台儿庄区公安局	山东省枣庄市台儿庄区
枣庄市市中区公安局	山东省枣庄市市中区
枣庄市山亭区公安局	山东省枣庄市山亭区
枣庄市薛城区公安局	山东省枣庄市薛城区
菏泽市牡丹区公安局	山东省菏泽市牡丹区
菏泽市定陶区公安局	山东省菏泽市定陶区
菏泽市东明县公安局	山东省菏泽市东明县
菏泽市鄄城县公安局	山东省菏泽市鄄城县
菏泽市菏泽经济技术开发区公安局	山东省菏泽市菏泽经济技术开发区
菏泽市巨野县公安局	山东省菏泽市巨野县
菏泽市单县公安局	山东省菏泽市单县
菏泽市菏泽高新技术开发区公安局	山东省菏泽市菏泽高新技术开发区
菏泽市曹县公安局	山东省菏泽市曹县
菏泽市成武县公安局	山东省菏泽市成武县
菏泽市郓城县公安局	山东省菏泽市郓城县
济宁市邹城市公安局	山东省济宁市邹城市
济宁市嘉祥县公安局	山东省济宁市嘉祥县
济宁市金乡县公安局	山东省济宁市金乡县
济宁市曲阜市公安局	山东省济宁市曲阜市
济宁市任城区公安局	山东省济宁市任城区
济宁市泗水县公安局	山东省济宁市泗水县
济宁市济宁高新技术产业开发区公安局	山东省济宁市济宁高新技术产业开发区
济宁市梁山县公安局	山东省济宁市梁山县
济宁市鱼台县公安局	山东省济宁市鱼台县
济宁市汶上县公安局	山东省济宁市汶上县
济宁市微山县公安局	山东省济宁市微山县
济宁市兖州区公安局	山东省济宁市兖州区
聊城市莘县公安局	山东省聊城市莘县
聊城市临清市公安局	山东省聊城市临清市
聊城市冠县公安局	山东省聊城市冠县
聊城市高唐县公安局	山东省聊城市高唐县
聊城市东昌府区公安局	山东省聊城市东昌府区
聊城市阳谷县公安局	山东省聊城市阳谷县
聊城市茌平县公安局	山东省聊城市茌平县
聊城市东阿县公安局	山东省聊城市东阿县
潍坊市临朐县公安局	山东省潍坊市临朐县
潍坊市昌邑市公安局	山东省潍坊市昌邑市
潍坊市坊子区公安局	山东省潍坊市坊子区
潍坊市潍城区公安局	山东省潍坊市潍城区
潍坊市寒亭区公安局	山东省潍坊市寒亭区
潍坊市奎文区公安局	山东省潍坊市奎文区
潍坊市安丘市公安局	山东省潍坊市安丘市
潍坊市青州市公安局	山东省潍坊市青州市
潍坊市高密市公安局	山东省潍坊市高密市
潍坊市寿光市公安局	山东省潍坊市寿光市
潍坊市潍坊滨海经济技术开发区公安局	山东省潍坊市潍坊滨海经济技术开发区
潍坊市诸城市公安局	山东省潍坊市诸城市
潍坊市昌乐县公安局	山东省潍坊市昌乐县
济南市平阴县公安局	山东省济南市平阴县
济南市市中区公安局	山东省济南市市中区
济南市商河县公安局	山东省济南市商河县
济南市历下区公安局	山东省济南市历下区
济南市济阳区公安局	山东省济南市济阳区
济南市历城区公安局	山东省济南市历城区
济南市章丘区公安局	山东省济南市章丘区
济南市天桥区公安局	山东省济南市天桥区
济南市长清区公安局	山东省济南市长清区
济南市济南高新技术产业开发区公安局	山东省济南市济南高新技术产业开发区
济南市槐荫区公安局	山东省济南市槐荫区
莱芜市钢城区公安局	山东省莱芜市钢城区
莱芜市莱城区公安局	山东省莱芜市莱城区
青岛市李沧区公安局	山东省青岛市李沧区
青岛市青岛高新技术产业开发区公安局	山东省青岛市青岛高新技术产业开发区
青岛市胶州市公安局	山东省青岛市胶州市
青岛市莱西市公安局	山东省青岛市莱西市
青岛市即墨区公安局	山东省青岛市即墨区
青岛市市北区公安局	山东省青岛市市北区
青岛市黄岛区公安局	山东省青岛市黄岛区
青岛市崂山区公安局	山东省青岛市崂山区
青岛市城阳区公安局	山东省青岛市城阳区
青岛市平度市公安局	山东省青岛市平度市
青岛市市南区公安局	山东省青岛市市南区
东营市广饶县公安局	山东省东营市广饶县
东营市东营港经济开发区公安局	山东省东营市东营港经济开发区
东营市垦利区公安局	山东省东营市垦利区
东营市东营区公安局	山东省东营市东营区
东营市东营经济技术开发区公安局	山东省东营市东营经济技术开发区
东营市河口区公安局	山东省东营市河口区
东营市利津县公安局	山东省东营市利津县
临沂市费县公安局	山东省临沂市费县
临沂市临沂经济技术开发区公安局	山东省临沂市临沂经济技术开发区
临沂市临沭县公安局	山东省临沂市临沭县
临沂市蒙阴县公安局	山东省临沂市蒙阴县
临沂市临沂高新技术产业开发区公安局	山东省临沂市临沂高新技术产业开发区
临沂市罗庄区公安局	山东省临沂市罗庄区
临沂市平邑县公安局	山东省临沂市平邑县
临沂市莒南县公安局	山东省临沂市莒南县
临沂市郯城县公安局	山东省临沂市郯城县
临沂市兰陵县公安局	山东省临沂市兰陵县
临沂市临沂临港经济开发区公安局	山东省临沂市临沂临港经济开发区
临沂市兰山区公安局	山东省临沂市兰山区
临沂市河东区公安局	山东省临沂市河东区
临沂市沂水县公安局	山东省临沂市沂水县
临沂市沂南县公安局	山东省临沂市沂南县
德州市德州经济技术开发区公安局	山东省德州市德州经济技术开发区
德州市宁津县公安局	山东省德州市宁津县
德州市庆云县公安局	山东省德州市庆云县
德州市德城区公安局	山东省德州市德城区
德州市齐河县公安局	山东省德州市齐河县
德州市武城县公安局	山东省德州市武城县
德州市夏津县公安局	山东省德州市夏津县
德州市陵城区公安局	山东省德州市陵城区
德州市德州运河经济开发区公安局	山东省德州市德州运河经济开发区
德州市禹城市公安局	山东省德州市禹城市
德州市乐陵市公安局	山东省德州市乐陵市
德州市平原县公安局	山东省德州市平原县
德州市临邑县公安局	山东省德州市临邑县
淄博市桓台县公安局	山东省淄博市桓台县
淄博市高青县公安局	山东省淄博市高青县
淄博市临淄区公安局	山东省淄博市临淄区
淄博市沂源县公安局	山东省淄博市沂源县
淄博市周村区公安局	山东省淄博市周村区
淄博市张店区公安局	山东省淄博市张店区
淄博市博山区公安局	山东省淄博市博山区
淄博市淄川区公安局	山东省淄博市淄川区
威海市荣成市公安局	山东省威海市荣成市
威海市文登区公安局	山东省威海市文登区
威海市威海临港经济技术开发区公安局	山东省威海市威海临港经济技术开发区
威海市乳山市公安局	山东省威海市乳山市
威海市环翠区公安局	山东省威海市环翠区
威海市威海火炬高技术产业开发区公安局	山东省威海市威海火炬高技术产业开发区
威海市威海经济技术开发区公安局	山东省威海市威海经济技术开发区
烟台市烟台高新技术产业开发区公安局	山东省烟台市烟台高新技术产业开发区
烟台市长岛县公安局	山东省烟台市长岛县
烟台市莱山区公安局	山东省烟台市莱山区
烟台市烟台经济技术开发区公安局	山东省烟台市烟台经济技术开发区
烟台市栖霞市公安局	山东省烟台市栖霞市
烟台市芝罘区公安局	山东省烟台市芝罘区
烟台市牟平区公安局	山东省烟台市牟平区
烟台市招远市公安局	山东省烟台市招远市
烟台市蓬莱市公安局	山东省烟台市蓬莱市
烟台市龙口市公安局	山东省烟台市龙口市
烟台市莱州市公安局	山东省烟台市莱州市
烟台市海阳市公安局	山东省烟台市海阳市
烟台市福山区公安局	山东省烟台市福山区
烟台市莱阳市公安局	山东省烟台市莱阳市
包头市青山区公安局	内蒙古自治区包头市青山区
包头市包头稀土高新技术产业开发区公安局	内蒙古自治区包头市包头稀土高新技术产业开发区
包头市固阳县公安局	内蒙古自治区包头市固阳县
包头市达尔罕茂明安联合旗公安局	内蒙古自治区包头市达尔罕茂明安联合旗
包头市东河区公安局	内蒙古自治区包头市东河区
包头市白云鄂博矿区公安局	内蒙古自治区包头市白云鄂博矿区
包头市九原区公安局	内蒙古自治区包头市九原区
包头市昆都仑区公安局	内蒙古自治区包头市昆都仑区
包头市土默特右旗公安局	内蒙古自治区包头市土默特右旗
包头市石拐区公安局	内蒙古自治区包头市石拐区
锡林郭勒盟镶黄旗公安局	内蒙古自治区锡林郭勒盟镶黄旗
锡林郭勒盟东乌珠穆沁旗公安局	内蒙古自治区锡林郭勒盟东乌珠穆沁旗
锡林郭勒盟锡林浩特市公安局	内蒙古自治区锡林郭勒盟锡林浩特市
锡林郭勒盟乌拉盖管委会公安局	内蒙古自治区锡林郭勒盟乌拉盖管委会
锡林郭勒盟西乌珠穆沁旗公安局	内蒙古自治区锡林郭勒盟西乌珠穆沁旗
锡林郭勒盟二连浩特市公安局	内蒙古自治区锡林郭勒盟二连浩特市
锡林郭勒盟太仆寺旗公安局	内蒙古自治区锡林郭勒盟太仆寺旗
锡林郭勒盟苏尼特左旗公安局	内蒙古自治区锡林郭勒盟苏尼特左旗
锡林郭勒盟多伦县公安局	内蒙古自治区锡林郭勒盟多伦县
锡林郭勒盟苏尼特右旗公安局	内蒙古自治区锡林郭勒盟苏尼特右旗
锡林郭勒盟正镶白旗公安局	内蒙古自治区锡林郭勒盟正镶白旗
锡林郭勒盟正蓝旗公安局	内蒙古自治区锡林郭勒盟正蓝旗
锡林郭勒盟阿巴嘎旗公安局	内蒙古自治区锡林郭勒盟阿巴嘎旗
鄂尔多斯市东胜区公安局	内蒙古自治区鄂尔多斯市东胜区
鄂尔多斯市鄂托克旗公安局	内蒙古自治区鄂尔多斯市鄂托克旗
鄂尔多斯市乌审旗公安局	内蒙古自治区鄂尔多斯市乌审旗
鄂尔多斯市杭锦旗公安局	内蒙古自治区鄂尔多斯市杭锦旗
鄂尔多斯市伊金霍洛旗公安局	内蒙古自治区鄂尔多斯市伊金霍洛旗
鄂尔多斯市康巴什区公安局	内蒙古自治区鄂尔多斯市康巴什区
鄂尔多斯市鄂托克前旗公安局	内蒙古自治区鄂尔多斯市鄂托克前旗
鄂尔多斯市准格尔旗公安局	内蒙古自治区鄂尔多斯市准格尔旗
鄂尔多斯市达拉特旗公安局	内蒙古自治区鄂尔多斯市达拉特旗
巴彦淖尔市磴口县公安局	内蒙古自治区巴彦淖尔市磴口县
巴彦淖尔市临河区公安局	内蒙古自治区巴彦淖尔市临河区
巴彦淖尔市乌拉特前旗公安局	内蒙古自治区巴彦淖尔市乌拉特前旗
巴彦淖尔市杭锦后旗公安局	内蒙古自治区巴彦淖尔市杭锦后旗
巴彦淖尔市乌拉特中旗公安局	内蒙古自治区巴彦淖尔市乌拉特中旗
巴彦淖尔市五原县公安局	内蒙古自治区巴彦淖尔市五原县
巴彦淖尔市乌拉特后旗公安局	内蒙古自治区巴彦淖尔市乌拉特后旗
乌兰察布市丰镇市公安局	内蒙古自治区乌兰察布市丰镇市
乌兰察布市商都县公安局	内蒙古自治区乌兰察布市商都县
乌兰察布市化德县公安局	内蒙古自治区乌兰察布市化德县
乌兰察布市察哈尔右翼后旗公安局	内蒙古自治区乌兰察布市察哈尔右翼后旗
乌兰察布市察哈尔右翼中旗公安局	内蒙古自治区乌兰察布市察哈尔右翼中旗
乌兰察布市卓资县公安局	内蒙古自治区乌兰察布市卓资县
乌兰察布市兴和县公安局	内蒙古自治区乌兰察布市兴和县
乌兰察布市集宁区公安局	内蒙古自治区乌兰察布市集宁区
乌兰察布市凉城县公安局	内蒙古自治区乌兰察布市凉城县
乌兰察布市察哈尔右翼前旗公安局	内蒙古自治区乌兰察布市察哈尔右翼前旗
乌兰察布市四子王旗公安局	内蒙古自治区乌兰察布市四子王旗
赤峰市巴林右旗公安局	内蒙古自治区赤峰市巴林右旗
赤峰市翁牛特旗公安局	内蒙古自治区赤峰市翁牛特旗
赤峰市巴林左旗公安局	内蒙古自治区赤峰市巴林左旗
赤峰市敖汉旗公安局	内蒙古自治区赤峰市敖汉旗
赤峰市红山区公安局	内蒙古自治区赤峰市红山区
赤峰市宁城县公安局	内蒙古自治区赤峰市宁城县
赤峰市喀喇沁旗公安局	内蒙古自治区赤峰市喀喇沁旗
赤峰市元宝山区公安局	内蒙古自治区赤峰市元宝山区
赤峰市克什克腾旗公安局	内蒙古自治区赤峰市克什克腾旗
赤峰市林西县公安局	内蒙古自治区赤峰市林西县
赤峰市松山区公安局	内蒙古自治区赤峰市松山区
赤峰市阿鲁科尔沁旗公安局	内蒙古自治区赤峰市阿鲁科尔沁旗
兴安盟突泉县公安局	内蒙古自治区兴安盟突泉县
兴安盟阿尔山市公安局	内蒙古自治区兴安盟阿尔山市
兴安盟乌兰浩特市公安局	内蒙古自治区兴安盟乌兰浩特市
兴安盟科尔沁右翼前旗公安局	内蒙古自治区兴安盟科尔沁右翼前旗
兴安盟扎赉特旗公安局	内蒙古自治区兴安盟扎赉特旗
兴安盟科尔沁右翼中旗公安局	内蒙古自治区兴安盟科尔沁右翼中旗
呼和浩特市呼和浩特金海工业园区公安局	内蒙古自治区呼和浩特市呼和浩特金海工业园区
呼和浩特市清水河县公安局	内蒙古自治区呼和浩特市清水河县
呼和浩特市呼和浩特经济技术开发区公安局	内蒙古自治区呼和浩特市呼和浩特经济技术开发区
呼和浩特市回民区公安局	内蒙古自治区呼和浩特市回民区
呼和浩特市土默特左旗公安局	内蒙古自治区呼和浩特市土默特左旗
呼和浩特市新城区公安局	内蒙古自治区呼和浩特市新城区
呼和浩特市赛罕区公安局	内蒙古自治区呼和浩特市赛罕区
呼和浩特市武川县公安局	内蒙古自治区呼和浩特市武川县
呼和浩特市托克托县公安局	内蒙古自治区呼和浩特市托克托县
呼和浩特市和林格尔县公安局	内蒙古自治区呼和浩特市和林格尔县
呼和浩特市玉泉区公安局	内蒙古自治区呼和浩特市玉泉区
呼伦贝尔市鄂温克族自治旗公安局	内蒙古自治区呼伦贝尔市鄂温克族自治旗
呼伦贝尔市扎兰屯市公安局	内蒙古自治区呼伦贝尔市扎兰屯市
呼伦贝尔市新巴尔虎左旗公安局	内蒙古自治区呼伦贝尔市新巴尔虎左旗
呼伦贝尔市满洲里市公安局	内蒙古自治区呼伦贝尔市满洲里市
呼伦贝尔市莫力达瓦达斡尔族自治旗公安局	内蒙古自治区呼伦贝尔市莫力达瓦达斡尔族自治旗
呼伦贝尔市阿荣旗公安局	内蒙古自治区呼伦贝尔市阿荣旗
呼伦贝尔市鄂伦春自治旗公安局	内蒙古自治区呼伦贝尔市鄂伦春自治旗
固原市泾源县公安局	宁夏回族自治区固原市泾源县
固原市彭阳县公安局	宁夏回族自治区固原市彭阳县
固原市原州区公安局	宁夏回族自治区固原市原州区
固原市隆德县公安局	宁夏回族自治区固原市隆德县
固原市西吉县公安局	宁夏回族自治区固原市西吉县
吴忠市盐池县公安局	宁夏回族自治区吴忠市盐池县
吴忠市同心县公安局	宁夏回族自治区吴忠市同心县
吴忠市青铜峡市公安局	宁夏回族自治区吴忠市青铜峡市
吴忠市利通区公安局	宁夏回族自治区吴忠市利通区
湘潭市湘潭县公安局	湖南省湘潭市湘潭县
湘潭市雨湖区公安局	湖南省湘潭市雨湖区
湘潭市韶山市公安局	湖南省湘潭市韶山市
湘潭市湘乡市公安局	湖南省湘潭市湘乡市
湘潭市湘潭昭山示范区公安局	湖南省湘潭市湘潭昭山示范区
湘潭市岳塘区公安局	湖南省湘潭市岳塘区
湘潭市湘潭九华示范区公安局	湖南省湘潭市湘潭九华示范区
湘潭市湖南湘潭高新技术产业园区公安局	湖南省湘潭市湖南湘潭高新技术产业园区
岳阳市岳阳市屈原管理区公安局	湖南省岳阳市岳阳市屈原管理区
岳阳市岳阳楼区公安局	湖南省岳阳市岳阳楼区
岳阳市平江县公安局	湖南省岳阳市平江县
岳阳市临湘市公安局	湖南省岳阳市临湘市
岳阳市岳阳县公安局	湖南省岳阳市岳阳县
岳阳市华容县公安局	湖南省岳阳市华容县
岳阳市湘阴县公安局	湖南省岳阳市湘阴县
岳阳市君山区公安局	湖南省岳阳市君山区
岳阳市汨罗市公安局	湖南省岳阳市汨罗市
岳阳市云溪区公安局	湖南省岳阳市云溪区
湘西土家族苗族自治州吉首市公安局	湖南省湘西土家族苗族自治州吉首市
湘西土家族苗族自治州永顺县公安局	湖南省湘西土家族苗族自治州永顺县
湘西土家族苗族自治州古丈县公安局	湖南省湘西土家族苗族自治州古丈县
湘西土家族苗族自治州湖南永顺经济开发区公安局	湖南省湘西土家族苗族自治州湖南永顺经济开发区
湘西土家族苗族自治州泸溪县公安局	湖南省湘西土家族苗族自治州泸溪县
湘西土家族苗族自治州凤凰县公安局	湖南省湘西土家族苗族自治州凤凰县
